,sentences,masks,lexico_sem_relations
360,On va se <mask> avec une arme.,battre,::>66:145948>25:91932
361,On va se battre avec une <mask>.,arme,::>66:145948>25:91932
362,Un <mask> peut porter le sac.,soldat,::>14:40635>29:43404
363,Un soldat peut <mask> le sac.,porter,::>14:40635>29:43404
364,Un soldat peut porter le <mask>.,sac,::>14:40635>29:43404
365,La <mask> femme peut refuser les avances.,jeune,::>14:130659>29:43881
366,La jeune <mask> peut refuser les avances.,femme,::>14:130659>29:43881
367,La jeune femme peut <mask> les avances.,refuser,::>14:130659>29:43881
368,La jeune femme peut refuser les <mask>.,avances,::>14:130659>29:43881
369,Le <mask> pourrait vendre les fromages.,fromager,::>14:21694>29:54438
370,Le fromager pourrait <mask> les fromages.,vendre,::>14:21694>29:54438
371,Le fromager pourrait vendre les <mask>.,fromages,::>14:21694>29:54438
372,La <mask> pourrait blesser une personne avec un couteau.,personne,::>16:32610>29:328330
373,La personne pourrait <mask> une personne avec un couteau.,blesser,::>16:32610>29:328330
374,La personne pourrait blesser une <mask> avec un couteau.,personne,::>16:32610>29:328330
375,La personne pourrait blesser une personne avec un <mask>.,couteau,::>16:32610>29:328330
376,Le <mask> de soldats va prendre.,groupe,::>13:11031038>29:86306
377,Le groupe de <mask> va prendre.,soldats,::>13:11031038>29:86306
378,Le groupe de soldats va <mask>.,prendre,::>13:11031038>29:86306
379,La <mask> personne peut avoir peur de la mort.,vieille,::>14:122864>29:15199086
380,La vieille <mask> peut avoir peur de la mort.,personne,::>14:122864>29:15199086
381,La vieille personne peut <mask> peur de la mort.,avoir,::>14:122864>29:15199086
382,La vieille personne peut avoir <mask> de la mort.,peur,::>14:122864>29:15199086
383,La vieille personne peut avoir peur de la <mask>.,mort,::>14:122864>29:15199086
384,Les <mask> pourraient être développés.,films,::>66:42177>26:84874
385,Les films pourraient <mask> développés.,être,::>66:42177>26:84874
386,Les films pourraient être <mask>.,développés,::>66:42177>26:84874
387,La <mask> pourrait couper du pain dans une planche à pain.,personne,::>66:14851596>15:42092
388,La personne pourrait <mask> du pain dans une planche à pain.,couper,::>66:14851596>15:42092
389,La personne pourrait couper du <mask> dans une planche à pain.,pain,::>66:14851596>15:42092
390,La personne pourrait couper du pain dans une <mask> à pain.,planche,::>66:14851596>15:42092
391,La personne pourrait couper du pain dans une planche à <mask>.,pain,::>66:14851596>15:42092
392,Un <mask> pouvait commettre un crime.,individu,::>66:68439>24:156187
393,Un individu pouvait <mask> un crime.,commettre,::>66:68439>24:156187
394,Un individu pouvait commettre un <mask>.,crime,::>66:68439>24:156187
395,Un <mask> va écrire une rédaction.,lycéen,::>14:112777>29:91801
396,Un lycéen va <mask> une rédaction.,écrire,::>14:112777>29:91801
397,Un lycéen va écrire une <mask>.,rédaction,::>14:112777>29:91801
398,Le <mask> enfant peut s'endormir.,petit,::>13:155036>29:138507
399,Le petit <mask> peut s'endormir.,enfant,::>13:155036>29:138507
400,Le petit enfant peut s'<mask>.,endormir,::>13:155036>29:138507
401,La <mask> va payer des factures.,personne,::>66:116477>24:16342855
402,La personne va <mask> des factures.,payer,::>66:116477>24:16342855
403,La personne va payer des <mask>.,factures,::>66:116477>24:16342855
404,Une sorte d'<mask> informatique pourrait écrire un programme.,ingénieur,::>66:15421034>24:15166052
405,Une sorte d'ingénieur <mask> pourrait écrire un programme.,informatique,::>66:15421034>24:15166052
406,Une sorte d'ingénieur informatique pourrait <mask> un programme.,écrire,::>66:15421034>24:15166052
407,Une sorte d'ingénieur informatique pourrait écrire un <mask>.,programme,::>66:15421034>24:15166052
408,L'<mask> peut écouter dans une chambre.,ado,::>31:90075>29:121505
409,L'ado peut <mask> dans une chambre.,écouter,::>31:90075>29:121505
410,L'ado peut écouter dans une <mask>.,chambre,::>31:90075>29:121505
411,L'<mask> peut tromper sa femme.,homme,::>13:74860>29:316050
412,L'homme peut <mask> sa femme.,tromper,::>13:74860>29:316050
413,L'homme peut tromper sa <mask>.,femme,::>13:74860>29:316050
414,Le <mask> pourrait ouvrir.,voleur,::>66:102641>24:54271
415,Le voleur pourrait <mask>.,ouvrir,::>66:102641>24:54271
416,Une <mask> peut passer l'aspirateur.,personne,::>66:116477>24:14474407
417,Une personne peut <mask> l'aspirateur.,passer,::>66:116477>24:14474407
418,Une personne peut passer l'<mask>.,aspirateur,::>66:116477>24:14474407
419,Un <mask> peut frapper une personne avec des poings.,individu,::>16:158641>29:15189655
420,Un individu peut <mask> une personne avec des poings.,frapper,::>16:158641>29:15189655
421,Un individu peut frapper une <mask> avec des poings.,personne,::>16:158641>29:15189655
422,Un individu peut frapper une personne avec des <mask>.,poings,::>16:158641>29:15189655
423,Un <mask> pourrait pousser quelqu'un.,psychopathe,::>66:22602>24:78635
424,Un psychopathe pourrait <mask> quelqu'un.,pousser,::>66:22602>24:78635
425,Un psychopathe pourrait pousser <mask> un.,quelqu',::>66:22602>24:78635
426,La <mask> pourrait préparer un plat.,cuisinière,::>66:59151>24:14325008
427,La cuisinière pourrait <mask> un plat.,préparer,::>66:59151>24:14325008
428,La cuisinière pourrait préparer un <mask>.,plat,::>66:59151>24:14325008
429,Les <mask> pourraient être larguées.,bombes,::>66:400280>26:134205
430,Les bombes pourraient <mask> larguées.,être,::>66:400280>26:134205
431,Les bombes pourraient être <mask>.,larguées,::>66:400280>26:134205
432,Une <mask> pourrait prier dans l'église.,personne,::>66:116477>24:14540332
433,Une personne pourrait <mask> dans l'église.,prier,::>66:116477>24:14540332
434,Une personne pourrait prier dans l'<mask>.,église,::>66:116477>24:14540332
435,Un <mask> jaloux va envier avec jalousie.,mari,::>66:232979>24:328033
436,Un mari <mask> va envier avec jalousie.,jaloux,::>66:232979>24:328033
437,Un mari jaloux va <mask> avec jalousie.,envier,::>66:232979>24:328033
438,Un mari jaloux va envier avec <mask>.,jalousie,::>66:232979>24:328033
439,La <mask> va manger son pavé.,personne,::>66:225916>24:14483215
440,La personne va <mask> son pavé.,manger,::>66:225916>24:14483215
441,La personne va manger son <mask>.,pavé,::>66:225916>24:14483215
442,Une <mask> pute pourrait se faire défoncer l'anus.,petite,::>66:260502>24:8157226
443,Une petite <mask> pourrait se faire défoncer l'anus.,pute,::>66:260502>24:8157226
444,Une petite pute pourrait se <mask> défoncer l'anus.,faire,::>66:260502>24:8157226
445,Une petite pute pourrait se faire <mask> l'anus.,défoncer,::>66:260502>24:8157226
446,Une petite pute pourrait se faire défoncer l'<mask>.,anus,::>66:260502>24:8157226
447,La <mask> va aller voir.,personne,::>66:116477>24:49607
448,La personne va <mask> voir.,aller,::>66:116477>24:49607
449,La personne va aller <mask>.,voir,::>66:116477>24:49607
450,La <mask> pourrait mourir de faim.,personne,::>66:116477>24:221386
451,La personne pourrait <mask> de faim.,mourir,::>66:116477>24:221386
452,La personne pourrait mourir de <mask>.,faim,::>66:116477>24:221386
453,Une <mask> pourrait tracter.,locomotive,::>66:97701>24:117773
454,Une locomotive pourrait <mask>.,tracter,::>66:97701>24:117773
455,Un <mask> pouvait écrire un mot dans la feuille de papier.,individu,::>31:155546>29:328251
456,Un individu pouvait <mask> un mot dans la feuille de papier.,écrire,::>31:155546>29:328251
457,Un individu pouvait écrire un <mask> dans la feuille de papier.,mot,::>31:155546>29:328251
458,Un individu pouvait écrire un mot dans la <mask> de papier.,feuille,::>31:155546>29:328251
459,Un individu pouvait écrire un mot dans la feuille de <mask>.,papier,::>31:155546>29:328251
460,Un <mask> pourrait défendre son bifteck.,individu,::>66:68439>24:221207
461,Un individu pourrait <mask> son bifteck.,défendre,::>66:68439>24:221207
462,Un individu pourrait défendre son <mask>.,bifteck,::>66:68439>24:221207
463,La <mask> pourrait dévoiler dans un journal.,personne,::>66:116477>24:16778434
464,La personne pourrait <mask> dans un journal.,dévoiler,::>66:116477>24:16778434
465,La personne pourrait dévoiler dans un <mask>.,journal,::>66:116477>24:16778434
466,La <mask> peut coudre le sac à main.,femme,::>66:61490>24:17476705
467,La femme peut <mask> le sac à main.,coudre,::>66:61490>24:17476705
468,La femme peut coudre le <mask> à main.,sac,::>66:61490>24:17476705
469,La femme peut coudre le sac à <mask>.,main,::>66:61490>24:17476705
470,Le <mask> pourrait tailler.,scout,::>66:96281>24:49598
471,Le scout pourrait <mask>.,tailler,::>66:96281>24:49598
472,Des <mask> pourrait attaquer un gaulois.,romains,::>14:33997>29:14338
473,Des romains pourrait <mask> un gaulois.,attaquer,::>14:33997>29:14338
474,Des romains pourrait attaquer un <mask>.,gaulois,::>14:33997>29:14338
475,Un <mask> pouvait commettre une infraction.,racaille,::>13:76617>29:14638048
476,Un racaille pouvait <mask> une infraction.,commettre,::>13:76617>29:14638048
477,Un racaille pouvait commettre une <mask>.,infraction,::>13:76617>29:14638048
478,Les <mask> pourraient travailler.,infirmières,::>13:417968>29:265611
479,Les infirmières pourraient <mask>.,travailler,::>13:417968>29:265611
480,L'<mask> de particules pourrait accélérer une particule.,accélérateur,::>14:15127>29:74365
481,L'accélérateur de <mask> pourrait accélérer une particule.,particules,::>14:15127>29:74365
482,L'accélérateur de particules pourrait <mask> une particule.,accélérer,::>14:15127>29:74365
483,L'accélérateur de particules pourrait accélérer une <mask>.,particule,::>14:15127>29:74365
484,La <mask> va corriger.,personne,::>13:116477>29:28475
485,La personne va <mask>.,corriger,::>13:116477>29:28475
486,Un <mask> est un lieu où il est possible de se prélasser.,canapé,::>66:35676>30:35427
487,Un canapé est un <mask> où il est possible de se prélasser.,lieu,::>66:35676>30:35427
488,Un canapé est un lieu où il est <mask> de se prélasser.,possible,::>66:35676>30:35427
489,Un canapé est un lieu où il est possible de se <mask>.,prélasser,::>66:35676>30:35427
490,Une <mask> pouvait mettre du rouge à lèvres.,femme,::>13:61490>29:11070360
491,Une femme pouvait <mask> du rouge à lèvres.,mettre,::>13:61490>29:11070360
492,Une femme pouvait mettre du <mask> à lèvres.,rouge,::>13:61490>29:11070360
493,Une femme pouvait mettre du rouge à <mask>.,lèvres,::>13:61490>29:11070360
494,<mask> un pouvait couper dans la planche à pain.,quelqu',::>31:42092>29:128828
495,Quelqu'un pouvait <mask> dans la planche à pain.,couper,::>31:42092>29:128828
496,Quelqu'un pouvait couper dans la <mask> à pain.,planche,::>31:42092>29:128828
497,Quelqu'un pouvait couper dans la planche à <mask>.,pain,::>31:42092>29:128828
498,Le <mask> pourrait s'enfuir.,fugitif,::>13:80279>29:137117
499,Le fugitif pourrait s'<mask>.,enfuir,::>13:80279>29:137117
500,La <mask> ne va pas voir.,personne,::>66:116477>24:256828
501,La personne ne va <mask> voir.,pas,::>66:116477>24:256828
502,La personne ne va pas <mask>.,voir,::>66:116477>24:256828
503,Une <mask> pourrait faire baisser.,vaccination,::>66:23117>24:264275
504,Une vaccination pourrait <mask> baisser.,faire,::>66:23117>24:264275
505,Une vaccination pourrait faire <mask>.,baisser,::>66:23117>24:264275
506,La <mask> pourrait essuyer un verre.,personne,::>13:116477>29:10040878
507,La personne pourrait <mask> un verre.,essuyer,::>13:116477>29:10040878
508,La personne pourrait essuyer un <mask>.,verre,::>13:116477>29:10040878
509,Un <mask> pouvait faire la queue.,Russe,::>66:151499>24:104649
510,Un russe pouvait <mask> la queue.,faire,::>66:151499>24:104649
511,Un russe pouvait faire la <mask>.,queue,::>66:151499>24:104649
512,Un <mask> pouvait mettre ses doigts dans une prise électrique.,bébé,::>31:167160>29:10990052
513,Un bébé pouvait <mask> ses doigts dans une prise électrique.,mettre,::>31:167160>29:10990052
514,Un bébé pouvait mettre ses <mask> dans une prise électrique.,doigts,::>31:167160>29:10990052
515,Un bébé pouvait mettre ses doigts dans une <mask> électrique.,prise,::>31:167160>29:10990052
516,Un bébé pouvait mettre ses doigts dans une prise <mask>.,électrique,::>31:167160>29:10990052
517,Une <mask> riche peut porter un vêtement de marque.,personne,::>66:8749242>24:16911474
518,Une personne <mask> peut porter un vêtement de marque.,riche,::>66:8749242>24:16911474
519,Une personne riche peut <mask> un vêtement de marque.,porter,::>66:8749242>24:16911474
520,Une personne riche peut porter un <mask> de marque.,vêtement,::>66:8749242>24:16911474
521,Une personne riche peut porter un vêtement de <mask>.,marque,::>66:8749242>24:16911474
522,Un <mask> peut refaire.,homme,::>13:74860>29:69093
523,Un homme peut <mask>.,refaire,::>13:74860>29:69093
524,Une <mask> au foyer pourrait préparer un dîner.,mère,::>14:13925>29:36246
525,Une mère au <mask> pourrait préparer un dîner.,foyer,::>14:13925>29:36246
526,Une mère au foyer pourrait <mask> un dîner.,préparer,::>14:13925>29:36246
527,Une mère au foyer pourrait préparer un <mask>.,dîner,::>14:13925>29:36246
528,Un <mask> va cuire dans le four.,individu,::>66:68439>24:14326649
529,Un individu va <mask> dans le four.,cuire,::>66:68439>24:14326649
530,Un individu va cuire dans le <mask>.,four,::>66:68439>24:14326649
531,Du <mask> va être servi.,fromage,::>66:141687>26:7888
532,Du fromage va <mask> servi.,être,::>66:141687>26:7888
533,Du fromage va être <mask>.,servi,::>66:141687>26:7888
534,Des <mask> pourraient être emportés.,meubles,::>66:105302>26:16810
535,Des meubles pourraient <mask> emportés.,être,::>66:105302>26:16810
536,Des meubles pourraient être <mask>.,emportés,::>66:105302>26:16810
537,Une sorte d'<mask> peut dessiner avec des crayons de papier.,enfant,::>66:233149>24:17470894
538,Une sorte d'enfant peut <mask> avec des crayons de papier.,dessiner,::>66:233149>24:17470894
539,Une sorte d'enfant peut dessiner avec des <mask> de papier.,crayons,::>66:233149>24:17470894
540,Une sorte d'enfant peut dessiner avec des crayons de <mask>.,papier,::>66:233149>24:17470894
541,Le <mask> ramier peut voler.,pigeon,::>13:194257>29:73827
542,Le pigeon <mask> peut voler.,ramier,::>13:194257>29:73827
543,Le pigeon ramier peut <mask>.,voler,::>13:194257>29:73827
544,Un <mask> peut réveiller.,réveil,::>13:141176>29:104795
545,Un réveil peut <mask>.,réveiller,::>13:141176>29:104795
546,Une <mask> est un endroit où on peut se confesser.,église,::>66:30387>30:59632
547,Une église est un <mask> où on peut se confesser.,endroit,::>66:30387>30:59632
548,Une église est un endroit où on peut se <mask>.,confesser,::>66:30387>30:59632
549,La <mask> pourrait déféquer dans les chiottes.,personne,::>31:94933>29:53455
550,La personne pourrait <mask> dans les chiottes.,déféquer,::>31:94933>29:53455
551,La personne pourrait déféquer dans les <mask>.,chiottes,::>31:94933>29:53455
552,Un <mask> pourrait remédier.,ostéopathe,::>66:85509>24:206883
553,Un ostéopathe pourrait <mask>.,remédier,::>66:85509>24:206883
554,Un <mask> est un lieu où on pourrait percer.,mur,::>66:144936>30:26738
555,Un mur est un <mask> où on pourrait percer.,lieu,::>66:144936>30:26738
556,Un mur est un lieu où on pourrait <mask>.,percer,::>66:144936>30:26738
557,L'<mask> de maison peut casser.,employé,::>66:31513>24:63509
558,L'employé de <mask> peut casser.,maison,::>66:31513>24:63509
559,L'employé de maison peut <mask>.,casser,::>66:31513>24:63509
560,Le <mask> peut détruire un char de combat avec le missile anti-char.,soldat,::>66:102633>24:17433419
561,Le soldat peut <mask> un char de combat avec le missile anti-char.,détruire,::>66:102633>24:17433419
562,Le soldat peut détruire un <mask> de combat avec le missile anti-char.,char,::>66:102633>24:17433419
563,Le soldat peut détruire un char de <mask> avec le missile anti-char.,combat,::>66:102633>24:17433419
564,Le soldat peut détruire un char de combat avec le <mask> anti-char.,missile,::>66:102633>24:17433419
565,Le soldat peut détruire un char de combat avec le missile <mask>.,anti-char,::>66:102633>24:17433419
566,Un <mask> pouvait faire des acrobaties dans un cirque.,acrobate,::>31:83208>29:14040778
567,Un acrobate pouvait <mask> des acrobaties dans un cirque.,faire,::>31:83208>29:14040778
568,Un acrobate pouvait faire des <mask> dans un cirque.,acrobaties,::>31:83208>29:14040778
569,Un acrobate pouvait faire des acrobaties dans un <mask>.,cirque,::>31:83208>29:14040778
570,La <mask> pourrait posséder.,personne,::>13:116477>29:18834
571,La personne pourrait <mask>.,posséder,::>13:116477>29:18834
572,Le <mask> pouvait saluer son supérieur.,soldat,::>66:102633>24:14334774
573,Le soldat pouvait <mask> son supérieur.,saluer,::>66:102633>24:14334774
574,Le soldat pouvait saluer son <mask>.,supérieur,::>66:102633>24:14334774
575,Un <mask> va servir.,restaurant,::>13:79954>29:82237
576,Un restaurant va <mask>.,servir,::>13:79954>29:82237
577,Un <mask> va rédiger un article scientifique.,chercheur,::>13:129303>29:12048876
578,Un chercheur va <mask> un article scientifique.,rédiger,::>13:129303>29:12048876
579,Un chercheur va rédiger un <mask> scientifique.,article,::>13:129303>29:12048876
580,Un chercheur va rédiger un article <mask>.,scientifique,::>13:129303>29:12048876
581,La <mask> peut être sculptée.,figurine,::>66:39533>26:45472
582,La figurine peut <mask> sculptée.,être,::>66:39533>26:45472
583,La figurine peut être <mask>.,sculptée,::>66:39533>26:45472
584,Une sorte de <mask> pourrait arroser avec le tuyau d'arrosage.,jardinier,::>66:9259123>24:14486206
585,Une sorte de jardinier pourrait <mask> avec le tuyau d'arrosage.,arroser,::>66:9259123>24:14486206
586,Une sorte de jardinier pourrait arroser avec le <mask> d'arrosage.,tuyau,::>66:9259123>24:14486206
587,Une sorte de jardinier pourrait arroser avec le tuyau d'<mask>.,arrosage,::>66:9259123>24:14486206
588,On pouvait <mask> à l'aide de le dénoyauteur.,dénoyauter,::>66:114150>25:30146
589,On pouvait dénoyauter à l'<mask> de le dénoyauteur.,aide,::>66:114150>25:30146
590,On pouvait dénoyauter à l'aide de le <mask>.,dénoyauteur,::>66:114150>25:30146
591,Une <mask> peut rechercher.,personne,::>13:116477>29:130196
592,Une personne peut <mask>.,rechercher,::>13:116477>29:130196
593,La <mask> pourrait servir avec le louche.,personne,::>66:116477>24:14561288
594,La personne pourrait <mask> avec le louche.,servir,::>66:116477>24:14561288
595,La personne pourrait servir avec le <mask>.,louche,::>66:116477>24:14561288
596,La <mask> de ménage pouvait travailler dans le navire de croisière.,femme,::>31:159982>29:69550
597,La femme de <mask> pouvait travailler dans le navire de croisière.,ménage,::>31:159982>29:69550
598,La femme de ménage pouvait <mask> dans le navire de croisière.,travailler,::>31:159982>29:69550
599,La femme de ménage pouvait travailler dans le <mask> de croisière.,navire,::>31:159982>29:69550
600,La femme de ménage pouvait travailler dans le navire de <mask>.,croisière,::>31:159982>29:69550
601,Les <mask> vont attaquer quelqu'un.,loups,::>66:229551>24:14338
602,Les loups vont <mask> quelqu'un.,attaquer,::>66:229551>24:14338
603,Les loups vont attaquer <mask> un.,quelqu',::>66:229551>24:14338
604,Le <mask> va garder un enfant.,baby-sitter,::>66:43386>24:328380
605,Le baby-sitter va <mask> un enfant.,garder,::>66:43386>24:328380
606,Le baby-sitter va garder un <mask>.,enfant,::>66:43386>24:328380
607,Les <mask> vont être diffusées.,informations,::>66:19122>26:94318
608,Les informations vont <mask> diffusées.,être,::>66:19122>26:94318
609,Les informations vont être <mask>.,diffusées,::>66:19122>26:94318
610,La <mask> va extraire du sel dans la mine.,personne,::>66:16598484>15:140613
611,La personne va <mask> du sel dans la mine.,extraire,::>66:16598484>15:140613
612,La personne va extraire du <mask> dans la mine.,sel,::>66:16598484>15:140613
613,La personne va extraire du sel dans la <mask>.,mine,::>66:16598484>15:140613
614,La <mask> pourrait être peinte.,figurine,::>66:39533>26:30875
615,La figurine pourrait <mask> peinte.,être,::>66:39533>26:30875
616,La figurine pourrait être <mask>.,peinte,::>66:39533>26:30875
617,Un <mask> va cuisiner quelqu'un.,chef,::>66:89926>24:80199
618,Un chef va <mask> quelqu'un.,cuisiner,::>66:89926>24:80199
619,Un chef va cuisiner <mask> un.,quelqu',::>66:89926>24:80199
620,Une sorte de <mask> de komodo pourrait cracher du feu.,dragon,::>66:8383>24:14347205
621,Une sorte de dragon de <mask> pourrait cracher du feu.,Komodo,::>66:8383>24:14347205
622,Une sorte de dragon de komodo pourrait <mask> du feu.,cracher,::>66:8383>24:14347205
623,Une sorte de dragon de komodo pourrait cracher du <mask>.,feu,::>66:8383>24:14347205
624,La <mask> peut détruire.,personne,::>13:116477>29:131732
625,La personne peut <mask>.,détruire,::>13:116477>29:131732
626,Un <mask> peut se déshabiller.,individu,::>13:68439>29:81963
627,Un individu peut se <mask>.,déshabiller,::>13:68439>29:81963
628,La <mask> peut jouer de sa musique.,personne,::>14:70527>29:15523
629,La personne peut <mask> de sa musique.,jouer,::>14:70527>29:15523
630,La personne peut jouer de sa <mask>.,musique,::>14:70527>29:15523
631,L'<mask> terroriste peut lancer quelque chose.,organisation,::>66:271768>24:44755
632,L'organisation <mask> peut lancer quelque chose.,terroriste,::>66:271768>24:44755
633,L'organisation terroriste peut <mask> quelque chose.,lancer,::>66:271768>24:44755
634,L'organisation terroriste peut lancer <mask> chose.,quelque,::>66:271768>24:44755
635,L'organisation terroriste peut lancer quelque <mask>.,chose,::>66:271768>24:44755
636,Le <mask> pourrait être poncé.,meuble,::>66:213632>26:117892
637,Le meuble pourrait <mask> poncé.,être,::>66:213632>26:117892
638,Le meuble pourrait être <mask>.,poncé,::>66:213632>26:117892
639,Le <mask> va fondre sur une proie.,faucon,::>13:111092>29:17433721
640,Le faucon va <mask> sur une proie.,fondre,::>13:111092>29:17433721
641,Le faucon va fondre <mask> une proie.,sur,::>13:111092>29:17433721
642,Le faucon va fondre sur une <mask>.,proie,::>13:111092>29:17433721
643,Un <mask> peut parler.,individu,::>13:68439>29:140318
644,Un individu peut <mask>.,parler,::>13:68439>29:140318
645,Une <mask> va lire un livre dans le bibliothèque.,personne,::>66:16587743>15:92636
646,Une personne va <mask> un livre dans le bibliothèque.,lire,::>66:16587743>15:92636
647,Une personne va lire un <mask> dans le bibliothèque.,livre,::>66:16587743>15:92636
648,Une personne va lire un livre dans le <mask>.,bibliothèque,::>66:16587743>15:92636
649,Le <mask> va baiser une sorte de sex friend.,mec,::>14:267596>29:5692
650,Le mec va <mask> une sorte de sex friend.,baiser,::>14:267596>29:5692
651,Le mec va baiser une sorte de <mask> friend.,sex,::>14:267596>29:5692
652,Le mec va baiser une sorte de sex <mask>.,friend,::>14:267596>29:5692
653,La <mask> peut puiser de l'eau.,personne,::>66:116477>24:16437241
654,La personne peut <mask> de l'eau.,puiser,::>66:116477>24:16437241
655,La personne peut puiser de l'<mask>.,eau,::>66:116477>24:16437241
656,Une <mask> peut introduire une sonde.,personne,::>14:143112>29:111075
657,Une personne peut <mask> une sonde.,introduire,::>14:143112>29:111075
658,Une personne peut introduire une <mask>.,sonde,::>14:143112>29:111075
